nonconformance_code,inspection_code,defect_code,defect_label,quantity,disposition,target_status,notes
fixture_nonconformance_2026_00034,fixture_quality_inspection_2026_00034,microbiology,Chỉ tiêu vi sinh cần xử lý,16.000000,rework,in_progress,Chỉ tiêu vi sinh cần xử lý; đã mở phiếu xử lý theo quy trình chất lượng.
fixture_nonconformance_2026_00036,fixture_quality_inspection_2026_00036,appearance,Ngoại quan không đạt,1.000000,return,cancelled,Ngoại quan không đạt; đã mở phiếu xử lý theo quy trình chất lượng.
fixture_nonconformance_2026_00037,fixture_quality_inspection_2026_00037,seal_integrity,Độ kín bao bì không đạt,2.000000,hold,open,Độ kín bao bì không đạt; đã mở phiếu xử lý theo quy trình chất lượng.
fixture_nonconformance_2026_00038,fixture_quality_inspection_2026_00038,net_weight,Khối lượng tịnh lệch chuẩn,3.000000,rework,in_progress,Khối lượng tịnh lệch chuẩn; đã mở phiếu xử lý theo quy trình chất lượng.
fixture_nonconformance_2026_00039,fixture_quality_inspection_2026_00039,microbiology,Chỉ tiêu vi sinh cần xử lý,4.000000,scrap,resolved,Chỉ tiêu vi sinh cần xử lý; đã mở phiếu xử lý theo quy trình chất lượng.
fixture_nonconformance_2026_00040,fixture_quality_inspection_2026_00040,label_information,Thông tin nhãn cần điều chỉnh,5.000000,return,cancelled,Thông tin nhãn cần điều chỉnh; đã mở phiếu xử lý theo quy trình chất lượng.
fixture_nonconformance_2026_00041,fixture_quality_inspection_2026_00041,appearance,Ngoại quan không đạt,6.000000,hold,open,Ngoại quan không đạt; đã mở phiếu xử lý theo quy trình chất lượng.
fixture_nonconformance_2026_00042,fixture_quality_inspection_2026_00042,seal_integrity,Độ kín bao bì không đạt,7.000000,rework,in_progress,Độ kín bao bì không đạt; đã mở phiếu xử lý theo quy trình chất lượng.
fixture_nonconformance_2026_00043,fixture_quality_inspection_2026_00043,net_weight,Khối lượng tịnh lệch chuẩn,8.000000,scrap,resolved,Khối lượng tịnh lệch chuẩn; đã mở phiếu xử lý theo quy trình chất lượng.
fixture_nonconformance_2026_00044,fixture_quality_inspection_2026_00044,microbiology,Chỉ tiêu vi sinh cần xử lý,9.000000,return,cancelled,Chỉ tiêu vi sinh cần xử lý; đã mở phiếu xử lý theo quy trình chất lượng.
fixture_nonconformance_2026_00045,fixture_quality_inspection_2026_00045,label_information,Thông tin nhãn cần điều chỉnh,10.000000,hold,open,Thông tin nhãn cần điều chỉnh; đã mở phiếu xử lý theo quy trình chất lượng.
fixture_nonconformance_2026_00046,fixture_quality_inspection_2026_00046,appearance,Ngoại quan không đạt,11.000000,rework,in_progress,Ngoại quan không đạt; đã mở phiếu xử lý theo quy trình chất lượng.
fixture_nonconformance_2026_00047,fixture_quality_inspection_2026_00047,seal_integrity,Độ kín bao bì không đạt,12.000000,scrap,resolved,Độ kín bao bì không đạt; đã mở phiếu xử lý theo quy trình chất lượng.
fixture_nonconformance_2026_00048,fixture_quality_inspection_2026_00048,net_weight,Khối lượng tịnh lệch chuẩn,13.000000,return,cancelled,Khối lượng tịnh lệch chuẩn; đã mở phiếu xử lý theo quy trình chất lượng.
fixture_nonconformance_2026_00049,fixture_quality_inspection_2026_00049,microbiology,Chỉ tiêu vi sinh cần xử lý,14.000000,hold,open,Chỉ tiêu vi sinh cần xử lý; đã mở phiếu xử lý theo quy trình chất lượng.
fixture_nonconformance_2026_00050,fixture_quality_inspection_2026_00050,label_information,Thông tin nhãn cần điều chỉnh,15.000000,rework,in_progress,Thông tin nhãn cần điều chỉnh; đã mở phiếu xử lý theo quy trình chất lượng.
fixture_nonconformance_2026_00051,fixture_quality_inspection_2026_00051,appearance,Ngoại quan không đạt,16.000000,scrap,resolved,Ngoại quan không đạt; đã mở phiếu xử lý theo quy trình chất lượng.
fixture_nonconformance_2026_00053,fixture_quality_inspection_2026_00053,net_weight,Khối lượng tịnh lệch chuẩn,1.000000,hold,open,Khối lượng tịnh lệch chuẩn; đã mở phiếu xử lý theo quy trình chất lượng.
fixture_nonconformance_2026_00054,fixture_quality_inspection_2026_00054,microbiology,Chỉ tiêu vi sinh cần xử lý,2.000000,rework,in_progress,Chỉ tiêu vi sinh cần xử lý; đã mở phiếu xử lý theo quy trình chất lượng.
fixture_nonconformance_2026_00055,fixture_quality_inspection_2026_00055,label_information,Thông tin nhãn cần điều chỉnh,3.000000,scrap,resolved,Thông tin nhãn cần điều chỉnh; đã mở phiếu xử lý theo quy trình chất lượng.
fixture_nonconformance_2026_00056,fixture_quality_inspection_2026_00056,appearance,Ngoại quan không đạt,4.000000,return,cancelled,Ngoại quan không đạt; đã mở phiếu xử lý theo quy trình chất lượng.
fixture_nonconformance_2026_00057,fixture_quality_inspection_2026_00057,seal_integrity,Độ kín bao bì không đạt,5.000000,hold,open,Độ kín bao bì không đạt; đã mở phiếu xử lý theo quy trình chất lượng.
fixture_nonconformance_2026_00058,fixture_quality_inspection_2026_00058,net_weight,Khối lượng tịnh lệch chuẩn,6.000000,rework,in_progress,Khối lượng tịnh lệch chuẩn; đã mở phiếu xử lý theo quy trình chất lượng.
fixture_nonconformance_2026_00059,fixture_quality_inspection_2026_00059,microbiology,Chỉ tiêu vi sinh cần xử lý,7.000000,scrap,resolved,Chỉ tiêu vi sinh cần xử lý; đã mở phiếu xử lý theo quy trình chất lượng.
fixture_nonconformance_2026_00071,fixture_quality_inspection_2026_00071,appearance,Ngoại quan không đạt,2.000000,scrap,resolved,Ngoại quan không đạt; đã mở phiếu xử lý theo quy trình chất lượng.
fixture_nonconformance_2026_00072,fixture_quality_inspection_2026_00072,seal_integrity,Độ kín bao bì không đạt,3.000000,return,cancelled,Độ kín bao bì không đạt; đã mở phiếu xử lý theo quy trình chất lượng.
fixture_nonconformance_2026_00073,fixture_quality_inspection_2026_00073,net_weight,Khối lượng tịnh lệch chuẩn,4.000000,hold,open,Khối lượng tịnh lệch chuẩn; đã mở phiếu xử lý theo quy trình chất lượng.
fixture_nonconformance_2026_00074,fixture_quality_inspection_2026_00074,microbiology,Chỉ tiêu vi sinh cần xử lý,5.000000,rework,in_progress,Chỉ tiêu vi sinh cần xử lý; đã mở phiếu xử lý theo quy trình chất lượng.
fixture_nonconformance_2026_00075,fixture_quality_inspection_2026_00075,label_information,Thông tin nhãn cần điều chỉnh,6.000000,scrap,resolved,Thông tin nhãn cần điều chỉnh; đã mở phiếu xử lý theo quy trình chất lượng.
fixture_nonconformance_2026_00076,fixture_quality_inspection_2026_00076,appearance,Ngoại quan không đạt,7.000000,return,cancelled,Ngoại quan không đạt; đã mở phiếu xử lý theo quy trình chất lượng.
fixture_nonconformance_2026_00077,fixture_quality_inspection_2026_00077,seal_integrity,Độ kín bao bì không đạt,8.000000,hold,open,Độ kín bao bì không đạt; đã mở phiếu xử lý theo quy trình chất lượng.
fixture_nonconformance_2026_00078,fixture_quality_inspection_2026_00078,net_weight,Khối lượng tịnh lệch chuẩn,9.000000,rework,in_progress,Khối lượng tịnh lệch chuẩn; đã mở phiếu xử lý theo quy trình chất lượng.
fixture_nonconformance_2026_00079,fixture_quality_inspection_2026_00079,microbiology,Chỉ tiêu vi sinh cần xử lý,10.000000,scrap,resolved,Chỉ tiêu vi sinh cần xử lý; đã mở phiếu xử lý theo quy trình chất lượng.
fixture_nonconformance_2026_00080,fixture_quality_inspection_2026_00080,label_information,Thông tin nhãn cần điều chỉnh,11.000000,return,cancelled,Thông tin nhãn cần điều chỉnh; đã mở phiếu xử lý theo quy trình chất lượng.
fixture_nonconformance_2026_00081,fixture_quality_inspection_2026_00081,appearance,Ngoại quan không đạt,12.000000,hold,open,Ngoại quan không đạt; đã mở phiếu xử lý theo quy trình chất lượng.
fixture_nonconformance_2026_00082,fixture_quality_inspection_2026_00082,seal_integrity,Độ kín bao bì không đạt,13.000000,rework,in_progress,Độ kín bao bì không đạt; đã mở phiếu xử lý theo quy trình chất lượng.
fixture_nonconformance_2026_00083,fixture_quality_inspection_2026_00083,net_weight,Khối lượng tịnh lệch chuẩn,14.000000,scrap,resolved,Khối lượng tịnh lệch chuẩn; đã mở phiếu xử lý theo quy trình chất lượng.
fixture_nonconformance_2026_00084,fixture_quality_inspection_2026_00084,microbiology,Chỉ tiêu vi sinh cần xử lý,15.000000,return,cancelled,Chỉ tiêu vi sinh cần xử lý; đã mở phiếu xử lý theo quy trình chất lượng.
fixture_nonconformance_2026_00085,fixture_quality_inspection_2026_00085,label_information,Thông tin nhãn cần điều chỉnh,16.000000,hold,open,Thông tin nhãn cần điều chỉnh; đã mở phiếu xử lý theo quy trình chất lượng.
fixture_nonconformance_2026_00087,fixture_quality_inspection_2026_00087,seal_integrity,Độ kín bao bì không đạt,1.000000,scrap,resolved,Độ kín bao bì không đạt; đã mở phiếu xử lý theo quy trình chất lượng.
fixture_nonconformance_2026_00088,fixture_quality_inspection_2026_00088,net_weight,Khối lượng tịnh lệch chuẩn,2.000000,return,cancelled,Khối lượng tịnh lệch chuẩn; đã mở phiếu xử lý theo quy trình chất lượng.
fixture_nonconformance_2026_00089,fixture_quality_inspection_2026_00089,microbiology,Chỉ tiêu vi sinh cần xử lý,3.000000,hold,open,Chỉ tiêu vi sinh cần xử lý; đã mở phiếu xử lý theo quy trình chất lượng.
fixture_nonconformance_2026_00090,fixture_quality_inspection_2026_00090,label_information,Thông tin nhãn cần điều chỉnh,4.000000,rework,in_progress,Thông tin nhãn cần điều chỉnh; đã mở phiếu xử lý theo quy trình chất lượng.
fixture_nonconformance_2026_00091,fixture_quality_inspection_2026_00091,appearance,Ngoại quan không đạt,5.000000,scrap,resolved,Ngoại quan không đạt; đã mở phiếu xử lý theo quy trình chất lượng.
fixture_nonconformance_2026_00092,fixture_quality_inspection_2026_00092,seal_integrity,Độ kín bao bì không đạt,6.000000,return,cancelled,Độ kín bao bì không đạt; đã mở phiếu xử lý theo quy trình chất lượng.
fixture_nonconformance_2026_00093,fixture_quality_inspection_2026_00093,net_weight,Khối lượng tịnh lệch chuẩn,7.000000,hold,open,Khối lượng tịnh lệch chuẩn; đã mở phiếu xử lý theo quy trình chất lượng.
fixture_nonconformance_2026_00094,fixture_quality_inspection_2026_00094,microbiology,Chỉ tiêu vi sinh cần xử lý,8.000000,rework,in_progress,Chỉ tiêu vi sinh cần xử lý; đã mở phiếu xử lý theo quy trình chất lượng.
fixture_nonconformance_2026_00095,fixture_quality_inspection_2026_00095,label_information,Thông tin nhãn cần điều chỉnh,9.000000,scrap,resolved,Thông tin nhãn cần điều chỉnh; đã mở phiếu xử lý theo quy trình chất lượng.
fixture_nonconformance_2026_00096,fixture_quality_inspection_2026_00096,appearance,Ngoại quan không đạt,10.000000,return,cancelled,Ngoại quan không đạt; đã mở phiếu xử lý theo quy trình chất lượng.
fixture_nonconformance_2026_00097,fixture_quality_inspection_2026_00097,seal_integrity,Độ kín bao bì không đạt,11.000000,hold,open,Độ kín bao bì không đạt; đã mở phiếu xử lý theo quy trình chất lượng.
fixture_nonconformance_2026_00098,fixture_quality_inspection_2026_00098,net_weight,Khối lượng tịnh lệch chuẩn,12.000000,rework,in_progress,Khối lượng tịnh lệch chuẩn; đã mở phiếu xử lý theo quy trình chất lượng.
fixture_nonconformance_2026_00099,fixture_quality_inspection_2026_00099,microbiology,Chỉ tiêu vi sinh cần xử lý,13.000000,scrap,resolved,Chỉ tiêu vi sinh cần xử lý; đã mở phiếu xử lý theo quy trình chất lượng.
fixture_nonconformance_2026_00100,fixture_quality_inspection_2026_00100,label_information,Thông tin nhãn cần điều chỉnh,14.000000,return,cancelled,Thông tin nhãn cần điều chỉnh; đã mở phiếu xử lý theo quy trình chất lượng.
fixture_nonconformance_2026_00101,fixture_quality_inspection_2026_00101,appearance,Ngoại quan không đạt,15.000000,hold,open,Ngoại quan không đạt; đã mở phiếu xử lý theo quy trình chất lượng.
fixture_nonconformance_2026_00102,fixture_quality_inspection_2026_00102,seal_integrity,Độ kín bao bì không đạt,16.000000,rework,in_progress,Độ kín bao bì không đạt; đã mở phiếu xử lý theo quy trình chất lượng.
fixture_nonconformance_2026_00104,fixture_quality_inspection_2026_00104,microbiology,Chỉ tiêu vi sinh cần xử lý,1.000000,return,cancelled,Chỉ tiêu vi sinh cần xử lý; đã mở phiếu xử lý theo quy trình chất lượng.
fixture_nonconformance_2026_00105,fixture_quality_inspection_2026_00105,label_information,Thông tin nhãn cần điều chỉnh,2.000000,hold,open,Thông tin nhãn cần điều chỉnh; đã mở phiếu xử lý theo quy trình chất lượng.
fixture_nonconformance_2026_00106,fixture_quality_inspection_2026_00106,appearance,Ngoại quan không đạt,3.000000,rework,in_progress,Ngoại quan không đạt; đã mở phiếu xử lý theo quy trình chất lượng.
fixture_nonconformance_2026_00107,fixture_quality_inspection_2026_00107,seal_integrity,Độ kín bao bì không đạt,4.000000,scrap,resolved,Độ kín bao bì không đạt; đã mở phiếu xử lý theo quy trình chất lượng.
fixture_nonconformance_2026_00108,fixture_quality_inspection_2026_00108,net_weight,Khối lượng tịnh lệch chuẩn,5.000000,return,cancelled,Khối lượng tịnh lệch chuẩn; đã mở phiếu xử lý theo quy trình chất lượng.
fixture_nonconformance_2026_00109,fixture_quality_inspection_2026_00109,microbiology,Chỉ tiêu vi sinh cần xử lý,6.000000,hold,open,Chỉ tiêu vi sinh cần xử lý; đã mở phiếu xử lý theo quy trình chất lượng.
fixture_nonconformance_2026_00110,fixture_quality_inspection_2026_00110,label_information,Thông tin nhãn cần điều chỉnh,7.000000,rework,in_progress,Thông tin nhãn cần điều chỉnh; đã mở phiếu xử lý theo quy trình chất lượng.
fixture_nonconformance_2026_00111,fixture_quality_inspection_2026_00111,appearance,Ngoại quan không đạt,8.000000,scrap,resolved,Ngoại quan không đạt; đã mở phiếu xử lý theo quy trình chất lượng.
fixture_nonconformance_2026_00112,fixture_quality_inspection_2026_00112,seal_integrity,Độ kín bao bì không đạt,9.000000,return,cancelled,Độ kín bao bì không đạt; đã mở phiếu xử lý theo quy trình chất lượng.
fixture_nonconformance_2026_00113,fixture_quality_inspection_2026_00113,net_weight,Khối lượng tịnh lệch chuẩn,10.000000,hold,open,Khối lượng tịnh lệch chuẩn; đã mở phiếu xử lý theo quy trình chất lượng.
fixture_nonconformance_2026_00114,fixture_quality_inspection_2026_00114,microbiology,Chỉ tiêu vi sinh cần xử lý,11.000000,rework,in_progress,Chỉ tiêu vi sinh cần xử lý; đã mở phiếu xử lý theo quy trình chất lượng.
fixture_nonconformance_2026_00115,fixture_quality_inspection_2026_00115,label_information,Thông tin nhãn cần điều chỉnh,12.000000,scrap,resolved,Thông tin nhãn cần điều chỉnh; đã mở phiếu xử lý theo quy trình chất lượng.
fixture_nonconformance_2026_00116,fixture_quality_inspection_2026_00116,appearance,Ngoại quan không đạt,13.000000,return,cancelled,Ngoại quan không đạt; đã mở phiếu xử lý theo quy trình chất lượng.
fixture_nonconformance_2026_00117,fixture_quality_inspection_2026_00117,seal_integrity,Độ kín bao bì không đạt,14.000000,hold,open,Độ kín bao bì không đạt; đã mở phiếu xử lý theo quy trình chất lượng.
